index,tag,name,B,H,W,C,P,Q,F,S,input_dtype,output_dtype,mean_microseconds,arithmetic_intensity,tflops,roofline_tflops,roofline_percent,ok
68,resnet,conv_2d_nchw_fchw_4x28x28x128x3x3x128_f16xf16xf32_stride2,4,28,28,128,3,3,128,2,f16,f32,96.0,173.0207,9.6338,1307.4,0.0074,True
69,resnet,conv_2d_nchw_fchw_4x28x28x512x1x1x256_f16xf16xf32_stride2,4,28,28,512,1,1,256,2,f16,f32,80.0,50.3775,10.276,1307.4,0.0079,True
70,resnet,conv_2d_nchw_fchw_4x28x28x128x3x3x128_f16xf16xf32_stride1,4,28,28,128,3,3,128,1,f16,f32,95.0,327.7097,9.7352,1307.4,0.0074,True
71,resnet,conv_2d_nchw_fchw_4x14x14x256x3x3x256_f16xf16xf32_stride2,4,14,14,256,3,3,256,2,f16,f32,109.0,241.7473,8.4848,1307.4,0.0065,True
72,resnet,conv_2d_nchw_fchw_4x14x14x1024x1x1x512_f16xf16xf32_stride2,4,14,14,1024,1,1,512,2,f16,f32,85.0,90.5704,9.6716,1307.4,0.0074,True
73,resnet,conv_2d_nchw_fchw_4x14x14x256x3x3x256_f16xf16xf32_stride1,4,14,14,256,3,3,256,1,f16,f32,112.0,368.9412,8.2575,1307.4,0.0063,True
74,resnet,conv_2d_nchw_fchw_4x7x7x512x3x3x512_f16xf16xf32_stride2,4,7,7,512,3,3,512,2,f16,f32,134.0,149.9283,6.9018,1307.4,0.0053,True
75,resnet,conv_2d_nchw_fchw_4x7x7x2048x1x1x1024_f16xf16xf32_stride2,4,7,7,2048,1,1,1024,2,f16,f32,80.0,100.1517,10.276,1307.4,0.0079,True
76,resnet,conv_2d_nchw_fchw_4x7x7x512x3x3x512_f16xf16xf32_stride1,4,7,7,512,3,3,512,1,f16,f32,126.0,169.6409,7.34,1307.4,0.0056,True
77,resnet,conv_2d_nchw_fchw_8x112x112x64x7x7x3_f16xf16xf32_stride2,8,112,112,64,7,7,3,2,f16,f32,390.0,34.088,4.8416,1307.4,0.0037,True
78,resnet,conv_2d_nchw_fchw_8x56x56x64x3x3x64_f16xf16xf32_stride1,8,56,56,64,3,3,64,1,f16,f32,86.0,186.0667,21.508,1307.4,0.0165,True
79,resnet,conv_2d_nchw_fchw_8x28x28x128x3x3x128_f16xf16xf32_stride2,8,28,28,128,3,3,128,2,f16,f32,99.0,177.9291,18.6837,1307.4,0.0143,True
80,resnet,conv_2d_nchw_fchw_8x28x28x512x1x1x256_f16xf16xf32_stride2,8,28,28,512,1,1,256,2,f16,f32,79.0,50.7854,20.8122,1307.4,0.0159,True
81,resnet,conv_2d_nchw_fchw_8x28x28x128x3x3x128_f16xf16xf32_stride1,8,28,28,128,3,3,128,1,f16,f32,97.0,345.7764,19.0689,1307.4,0.0146,True
82,resnet,conv_2d_nchw_fchw_8x14x14x256x3x3x256_f16xf16xf32_stride2,8,14,14,256,3,3,256,2,f16,f32,141.0,285.8127,13.1184,1307.4,0.01,True
83,resnet,conv_2d_nchw_fchw_8x14x14x1024x1x1x512_f16xf16xf32_stride2,8,14,14,1024,1,1,512,2,f16,f32,88.0,96.1226,18.6837,1307.4,0.0143,True
84,resnet,conv_2d_nchw_fchw_8x14x14x256x3x3x256_f16xf16xf32_stride1,8,14,14,256,3,3,256,1,f16,f32,142.0,482.4615,13.026,1307.4,0.01,True
85,resnet,conv_2d_nchw_fchw_8x7x7x512x3x3x512_f16xf16xf32_stride2,8,7,7,512,3,3,512,2,f16,f32,129.0,242.7871,14.3387,1307.4,0.011,True
86,resnet,conv_2d_nchw_fchw_8x7x7x2048x1x1x1024_f16xf16xf32_stride2,8,7,7,2048,1,1,1024,2,f16,f32,112.0,134.5201,14.6801,1307.4,0.0112,True
87,resnet,conv_2d_nchw_fchw_8x7x7x512x3x3x512_f16xf16xf32_stride1,8,7,7,512,3,3,512,1,f16,f32,127.0,299.0623,14.5645,1307.4,0.0111,True
88,unet,conv_2d_nhwc_hwcf_1x128x128x16x3x3x320_f16xf16xf32_stride1,1,128,128,16,3,3,320,1,f16,f32,61.0,69.8906,24.7533,1307.4,0.0189,True
89,unet,conv_2d_nhwc_hwcf_1x128x128x320x3x3x320_f16xf16xf32_stride1,1,128,128,320,3,3,320,1,f16,f32,170.0,897.9584,177.6411,1307.4,0.1359,True
90,unet,conv_2d_nhwc_hwcf_1x64x64x320x3x3x320_f16xf16xf32_stride2,1,64,64,320,3,3,320,2,f16,f32,145.0,421.7246,52.0672,1307.4,0.0398,True
91,unet,conv_2d_nhwc_hwcf_1x64x64x320x3x3x640_f16xf16xf32_stride1,1,64,64,320,3,3,640,1,f16,f32,124.0,890.3004,121.7701,1307.4,0.0931,True
92,unet,conv_2d_nhwc_hwcf_1x64x64x640x3x3x640_f16xf16xf32_stride1,1,64,64,640,3,3,640,1,f16,f32,189.0,1288.6694,159.783,1307.4,0.1222,True
93,unet,conv_2d_nhwc_hwcf_1x64x64x320x1x1x640_f16xf16xf32_stride1,1,64,64,320,1,1,640,1,f16,f32,76.0,124.1212,22.0753,1307.4,0.0169,True
94,unet,conv_2d_nhwc_hwcf_1x32x32x640x3x3x640_f16xf16xf32_stride2,1,32,32,640,3,3,640,2,f16,f32,201.0,484.8931,37.5609,1307.4,0.0287,True
95,unet,conv_2d_nhwc_hwcf_1x32x32x640x3x3x1280_f16xf16xf32_stride1,1,32,32,640,3,3,1280,1,f16,f32,187.0,703.3437,80.746,1307.4,0.0618,True
96,unet,conv_2d_nhwc_hwcf_1x32x32x1280x3x3x1280_f16xf16xf32_stride1,1,32,32,1280,3,3,1280,1,f16,f32,318.0,801.1736,94.9654,1307.4,0.0726,True
97,unet,conv_2d_nhwc_hwcf_1x32x32x640x1x1x1280_f16xf16xf32_stride1,1,32,32,640,1,1,1280,1,f16,f32,79.0,204.8,21.237,1307.4,0.0162,True
98,unet,conv_2d_nhwc_hwcf_1x32x32x2560x3x3x1280_f16xf16xf32_stride1,1,32,32,2560,3,3,1280,1,f16,f32,591.0,861.0569,102.1962,1307.4,0.0782,True
99,unet,conv_2d_nhwc_hwcf_1x32x32x2560x1x1x1280_f16xf16xf32_stride1,1,32,32,2560,1,1,1280,1,f16,f32,106.0,393.8462,63.3102,1307.4,0.0484,True
100,unet,conv_2d_nhwc_hwcf_1x32x32x1920x3x3x1280_f16xf16xf32_stride1,1,32,32,1920,3,3,1280,1,f16,f32,457.0,840.1253,99.1214,1307.4,0.0758,True
101,unet,conv_2d_nhwc_hwcf_1x32x32x1920x1x1x1280_f16xf16xf32_stride1,1,32,32,1920,1,1,1280,1,f16,f32,101.0,357.2093,49.8333,1307.4,0.0381,True
102,unet,conv_2d_nhwc_hwcf_1x64x64x1280x3x3x1280_f16xf16xf32_stride1,1,64,64,1280,3,3,1280,1,f16,f32,475.0,1960.5252,254.3073,1307.4,0.1945,True
103,unet,conv_2d_nhwc_hwcf_1x64x64x1920x3x3x640_f16xf16xf32_stride1,1,64,64,1920,3,3,640,1,f16,f32,456.0,1836.5044,198.6776,1307.4,0.152,True
104,unet,conv_2d_nhwc_hwcf_1x64x64x1920x1x1x640_f16xf16xf32_stride1,1,64,64,1920,1,1,640,1,f16,f32,110.0,351.0857,91.5121,1307.4,0.07,True
105,unet,conv_2d_nhwc_hwcf_1x64x64x1280x3x3x640_f16xf16xf32_stride1,1,64,64,1280,3,3,640,1,f16,f32,338.0,1660.0732,178.6922,1307.4,0.1367,True
106,unet,conv_2d_nhwc_hwcf_1x64x64x1280x1x1x640_f16xf16xf32_stride1,1,64,64,1280,1,1,640,1,f16,f32,91.0,296.8116,73.746,1307.4,0.0564,True
107,unet,conv_2d_nhwc_hwcf_1x64x64x960x3x3x640_f16xf16xf32_stride1,1,64,64,960,3,3,640,1,f16,f32,253.0,1514.5699,179.0454,1307.4,0.1369,True
108,unet,conv_2d_nhwc_hwcf_1x64x64x960x1x1x640_f16xf16xf32_stride1,1,64,64,960,1,1,640,1,f16,f32,78.0,257.0711,64.5278,1307.4,0.0494,True
109,unet,conv_2d_nhwc_hwcf_1x128x128x640x3x3x640_f16xf16xf32_stride1,1,128,128,640,3,3,640,1,f16,f32,344.0,1702.6023,351.151,1307.4,0.2686,True
110,unet,conv_2d_nhwc_hwcf_1x128x128x960x3x3x320_f16xf16xf32_stride1,1,128,128,960,3,3,320,1,f16,f32,386.0,1536.8672,234.7072,1307.4,0.1795,True
111,unet,conv_2d_nhwc_hwcf_1x128x128x960x1x1x320_f16xf16xf32_stride1,1,128,128,960,1,1,320,1,f16,f32,92.0,189.7761,109.4166,1307.4,0.0837,True
112,unet,conv_2d_nhwc_hwcf_1x128x128x640x3x3x320_f16xf16xf32_stride1,1,128,128,640,3,3,320,1,f16,f32,286.0,1304.776,211.1817,1307.4,0.1615,True
