index,tag,name,vmfb_hash,M,N,K,dtype,tA,tB,runtime_dim,mean_microseconds,arithmetic_intensity,tflops,ok
78,llama13bskinny,gemm_5120_32_3456_f16_f32_tB,e3810e438e7f8eec6843fc03c34ea0ee,5120,32,3456,f16,N,T,,73.0,31.5113,15.5132,True
79,llama13bskinny,gemm_4000_2_5120_f16_f32_tB,aa728117f6f9c54e252985f61be68776,4000,2,5120,f16,N,T,,91.0,1.9982,0.9002,True
80,llama13bskinny,gemm_4000_4_5120_f16_f32_tB,ff10f8d554a41fc0ddc265069e240d10,4000,4,5120,f16,N,T,,95.0,3.9929,1.7246,True
81,llama13bskinny,gemm_4000_8_5120_f16_f32_tB,ee47220004e19229cb9c2eb732b34ad8,4000,8,5120,f16,N,T,,85.0,7.9716,3.8551,True
82,llama13bskinny,gemm_4000_16_5120_f16_f32_tB,71f3c61c667a3061a1d963f4eb05469f,4000,16,5120,f16,N,T,,73.0,15.8868,8.9775,True
83,llama13bskinny,gemm_4000_32_5120_f16_f32_tB,5d0c2597464964dc3bdf64bca21bc322,4000,32,5120,f16,N,T,,67.0,31.5504,19.563,True
84,llama13bskinny,gemm_1920_2_5120_f16_f32_tB,fab633057c682e060793f6110a63b52c,1920,2,5120,f16,N,T,,87.0,1.9971,0.452,True
85,llama13bskinny,gemm_1920_4_5120_f16_f32_tB,3aaebcc07877e11a3060a19c9f274706,1920,4,5120,f16,N,T,,95.0,3.9886,0.8278,True
86,llama13bskinny,gemm_1920_8_5120_f16_f32_tB,2965056b01b36366dc79c1fe6914a191,1920,8,5120,f16,N,T,,81.0,7.9544,1.9418,True
87,llama13bskinny,gemm_1920_16_5120_f16_f32_tB,ffac4453ad234e35fb9d9415eacadf33,1920,16,5120,f16,N,T,,76.0,15.8187,4.1391,True
88,llama13bskinny,gemm_1920_32_5120_f16_f32_tB,49f0e36a871f27d1b266c07261711302,1920,32,5120,f16,N,T,,84.0,31.2831,7.4898,True
89,llama13bskinny,gemm_5120_2_640_f16_f32_tB,06905c722b20279fbe2969a3f6abe05e,5120,2,640,f16,N,T,,66.0,1.993,0.1986,True
90,llama13bskinny,gemm_5120_4_640_f16_f32_tB,4842b9369fe66bb88fb93bed0ec30d17,5120,4,640,f16,N,T,,71.0,3.9721,0.3692,True
91,llama13bskinny,gemm_5120_8_640_f16_f32_tB,e49cb680716fe843861317b24441bc94,5120,8,640,f16,N,T,,61.0,7.8891,0.8595,True
92,llama13bskinny,gemm_5120_16_640_f16_f32_tB,f1527703cd44850153e6a7f6be920b7a,5120,16,640,f16,N,T,,60.0,15.5623,1.7476,True
93,llama13bskinny,gemm_5120_32_640_f16_f32_tB,7a87575c01793f7effcd6c69336da749,5120,32,640,f16,N,T,,49.0,30.2959,4.2799,True
94,llama13bskinny,gemm_3456_2_5120_f16_f32_tB,72b05fce2f6a6bffd9fc679798c2a542,3456,2,5120,f16,N,T,,79.0,1.9981,0.8959,True
95,llama13bskinny,gemm_3456_4_5120_f16_f32_tB,b5182b6b41806a28c2752882cb06cf4b,3456,4,5120,f16,N,T,,93.0,3.9923,1.5221,True
96,llama13bskinny,gemm_3456_8_5120_f16_f32_tB,5bb13c4550d4a0c667c5e4a3c492cf8e,3456,8,5120,f16,N,T,,86.0,7.9691,3.292,True
97,llama13bskinny,gemm_3456_16_5120_f16_f32_tB,49a284eef53f21701def39c0af0a15f3,3456,16,5120,f16,N,T,,76.0,15.8769,7.4504,True
98,llama13bskinny,gemm_3456_32_5120_f16_f32_tB,2f3bd2afe0b68b33a335bef96cb68c39,3456,32,5120,f16,N,T,,68.0,31.5113,16.6539,True
99,llama13bskinny,gemm_5120_2_1728_f16_f32_tB,694b2702c61f7e3b9e90d803b901850d,5120,2,1728,f16,N,T,,55.0,1.9969,0.6434,True
100,llama13bskinny,gemm_5120_4_1728_f16_f32_tB,0cffd0cc58f65cf42a4c2bcfae8fa04a,5120,4,1728,f16,N,T,,54.0,3.9877,1.3107,True
101,llama13bskinny,gemm_5120_8_1728_f16_f32_tB,2e8764bc9b743b4b6b1dc0bd519cbef9,5120,8,1728,f16,N,T,,61.0,7.9508,2.3206,True
102,llama13bskinny,gemm_5120_16_1728_f16_f32_tB,a018af73157f27116f6c32f10787d041,5120,16,1728,f16,N,T,,52.0,15.8043,5.4445,True
103,llama13bskinny,gemm_5120_32_1728_f16_f32_tB,ec7652ac69edb34679dbdfd42082b3c0,5120,32,1728,f16,N,T,,68.0,31.2266,8.3269,True
104,llama70bskinny,gemm_32000_2_8192_f16_f32_tB,6fb0a1fd618714befbe5716c829083c1,32000,2,8192,f16,N,T,,263.0,1.9994,3.987,True
105,llama70bskinny,gemm_32000_4_8192_f16_f32_tB,cc40b0d21c552710687458600816c7f4,32000,4,8192,f16,N,T,,428.0,3.9975,4.8999,True
106,llama70bskinny,gemm_32000_8_8192_f16_f32_tB,89dfa747d116d3441ed7d2924527e56b,32000,8,8192,f16,N,T,,217.0,7.9902,19.3286,True
107,llama70bskinny,gemm_32000_16_8192_f16_f32_tB,11af89e9ac5dcea57fa84270e6eac7d0,32000,16,8192,f16,N,T,,205.0,15.9608,40.92,True
108,llama70bskinny,gemm_32000_32_8192_f16_f32_tB,8f0268841cbed6398453b3a2efe28260,32000,32,8192,f16,N,T,,218.0,31.8438,76.9597,True
109,llama70bskinny,gemm_10240_2_8192_f16_f32_tB,96a6a71dbc585a92d8db20a929ef3081,10240,2,8192,f16,N,T,,129.0,1.9991,2.6011,True
110,llama70bskinny,gemm_10240_4_8192_f16_f32_tB,01d387acd367ea514e72b82bea40fae3,10240,4,8192,f16,N,T,,190.0,3.9965,3.532,True
111,llama70bskinny,gemm_10240_8_8192_f16_f32_tB,05a13bf795d4fb49f876c07f838dc724,10240,8,8192,f16,N,T,,108.0,7.986,12.4276,True
112,llama70bskinny,gemm_10240_16_8192_f16_f32_tB,92198a12f126c499a8359d3d346b5bc7,10240,16,8192,f16,N,T,,99.0,15.9439,27.1147,True
113,llama70bskinny,gemm_10240_32_8192_f16_f32_tB,6efb299d77e26146b9eb72ad9790c257,10240,32,8192,f16,N,T,,99.0,31.7766,54.2294,True
114,llama70bskinny,gemm_8192_2_8192_f16_f32_tB,f0357eaf6a4f92bd2348d20b5eccca9b,8192,2,8192,f16,N,T,,115.0,1.999,2.3342,True
115,llama70bskinny,gemm_8192_4_8192_f16_f32_tB,d76779ea2dfd0d4b05a5469b775a4a55,8192,4,8192,f16,N,T,,161.0,3.9961,3.3346,True
116,llama70bskinny,gemm_8192_8_8192_f16_f32_tB,6aff6865b959c6b1d669a4bfb68e0f97,8192,8,8192,f16,N,T,,99.0,7.9844,10.8459,True
117,llama70bskinny,gemm_8192_16_8192_f16_f32_tB,2c4407d4c62d8e4316ef8e34a5d52c0d,8192,16,8192,f16,N,T,,88.0,15.9377,24.4032,True
118,llama70bskinny,gemm_8192_32_8192_f16_f32_tB,a1006d61c6cd2c185b8437acf3bc9312,8192,32,8192,f16,N,T,,89.0,31.7519,48.2581,True
119,llama70bskinny,gemm_57344_2_8192_f16_f32_tB,d090740a436bf9c8b8dacf38a71157fc,57344,2,8192,f16,N,T,,414.0,1.9994,4.5388,True
120,llama70bskinny,gemm_57344_4_8192_f16_f32_tB,ed0262706e3ed12e37a80c659acb5bf3,57344,4,8192,f16,N,T,,727.0,3.9978,5.1693,True
121,llama70bskinny,gemm_57344_8_8192_f16_f32_tB,c7c0520ddbc664a0280a8c82ef33dcd7,57344,8,8192,f16,N,T,,394.0,7.9911,19.0766,True
122,llama70bskinny,gemm_57344_16_8192_f16_f32_tB,d3963568bfb5338be8682e6a118cb330,57344,16,8192,f16,N,T,,339.0,15.9644,44.3433,True
123,llama70bskinny,gemm_57344_32_8192_f16_f32_tB,9e82b6b7cbb5fac2733156e54b99abfc,57344,32,8192,f16,N,T,,324.0,31.8578,92.7925,True
124,llama70bskinny,gemm_8192_2_28672_f16_f32_tB,4cf6debe530e84aaba704105c4e9d5d8,8192,2,28672,f16,N,T,,1490.0,1.9994,0.6306,True
125,llama70bskinny,gemm_8192_4_28672_f16_f32_tB,21fa00f2047417fd81b473fb4004c5be,8192,4,28672,f16,N,T,,3000.0,3.9975,0.6263,True
126,llama70bskinny,gemm_8192_8_28672_f16_f32_tB,981e99ac1be28ec8b97c13c51cf5ada3,8192,8,28672,f16,N,T,,331.0,7.99,11.3538,True
127,llama70bskinny,gemm_8192_16_28672_f16_f32_tB,90a72b00f9392c3a4e952628335680a8,8192,16,28672,f16,N,T,,222.0,15.9599,33.8567,True
128,llama70bskinny,gemm_8192_32_28672_f16_f32_tB,cc86324f04c2d7a1098c1bbe40c12a64,8192,32,28672,f16,N,T,,257.0,31.8401,58.4918,True
129,llama70bskinny,gemm_16000_2_8192_f16_f32_tB,2eea6900ea5aad33aa5d614197961c80,16000,2,8192,f16,N,T,,172.0,1.9993,3.0482,True
130,llama70bskinny,gemm_16000_4_8192_f16_f32_tB,1be3f9cfa407b1ec1ad3136ac4d2f8c7,16000,4,8192,f16,N,T,,259.0,3.997,4.0486,True
131,llama70bskinny,gemm_16000_8_8192_f16_f32_tB,18dedee711c6a35dcf89b48d6f984aed,16000,8,8192,f16,N,T,,122.0,7.9882,17.1898,True
132,llama70bskinny,gemm_16000_16_8192_f16_f32_tB,bd9bb4dbe28ec024b132d2510b51e543,16000,16,8192,f16,N,T,,100.0,15.9529,41.943,True
133,llama70bskinny,gemm_16000_32_8192_f16_f32_tB,c90f49465cddc3453a919f09a9b5c8cd,16000,32,8192,f16,N,T,,118.0,31.8121,71.0899,True
134,llama70bskinny,gemm_5120_2_8192_f16_f32_tB,5cc6a3f8789180d94cad515f849b4432,5120,2,8192,f16,N,T,,95.0,1.9987,1.766,True
135,llama70bskinny,gemm_5120_4_8192_f16_f32_tB,d0715c9dc8d79377dd77df005a837999,5120,4,8192,f16,N,T,,133.0,3.9949,2.5229,True
136,llama70bskinny,gemm_5120_8_8192_f16_f32_tB,80239a5153905d18d58c4fa476a42c44,5120,8,8192,f16,N,T,,101.0,7.9797,6.6444,True
137,llama70bskinny,gemm_5120_16_8192_f16_f32_tB,e00c9ef1feecd5a7bec88638ed9e6f1b,5120,16,8192,f16,N,T,,86.0,15.9192,15.6067,True
138,llama70bskinny,gemm_5120_32_8192_f16_f32_tB,88b1eb54d7238bcd2c5946c9d7d71496,5120,32,8192,f16,N,T,,89.0,31.6783,30.1613,True
139,llama70bskinny,gemm_8192_2_4096_f16_f32_tB,d682c007b255c62d895d87ee8bbb1d65,8192,2,4096,f16,N,T,,87.0,1.9985,1.5427,True
140,llama70bskinny,gemm_8192_4_4096_f16_f32_tB,bd1e3ac0123b2a4723f136f90752c0a0,8192,4,4096,f16,N,T,,100.0,3.9941,2.6844,True
141,llama70bskinny,gemm_8192_8_4096_f16_f32_tB,ec7a5373707a6c2f564d919c09f3b621,8192,8,4096,f16,N,T,,78.0,7.9766,6.883,True
142,llama70bskinny,gemm_8192_16_4096_f16_f32_tB,059444c16790d2577b283443e2983a23,8192,16,4096,f16,N,T,,75.0,15.9068,14.3166,True
143,llama70bskinny,gemm_8192_32_4096_f16_f32_tB,efadbe745c30053f67024de2d026016f,8192,32,4096,f16,N,T,,73.0,31.6293,29.4176,True
144,llama70bskinny,gemm_28672_2_8192_f16_f32_tB,fe65791160e67b71989e757796c54cf3,28672,2,8192,f16,N,T,,242.0,1.9994,3.8823,True
145,llama70bskinny,gemm_28672_4_8192_f16_f32_tB,e2c9a826aea0e3b8b5151822f4b2124c,28672,4,8192,f16,N,T,,401.0,3.9975,4.6859,True
146,llama70bskinny,gemm_28672_8_8192_f16_f32_tB,d7c3820932edbcec9da67cb80690593b,28672,8,8192,f16,N,T,,205.0,7.99,18.3322,True
147,llama70bskinny,gemm_28672_16_8192_f16_f32_tB,8b79ca08569dae7ea6b56a69a8d53865,28672,16,8192,f16,N,T,,199.0,15.9599,37.7698,True
148,llama70bskinny,gemm_28672_32_8192_f16_f32_tB,80ebb5af15fd468eee9179e39cdc1a47,28672,32,8192,f16,N,T,,212.0,31.8401,70.9075,True
149,llama70bskinny,gemm_8192_2_14336_f16_f32_tB,24522bb3509e78ea8fed29f6ed7b82a6,8192,2,14336,f16,N,T,,147.0,1.9992,3.1957,True
150,llama70bskinny,gemm_8192_4_14336_f16_f32_tB,202eaac4f570207a15184e17d021303c,8192,4,14336,f16,N,T,,224.0,3.9969,4.1943,True
151,llama70bskinny,gemm_8192_8_14336_f16_f32_tB,dd36ef609819d981c6d04bc78290dfce,8192,8,14336,f16,N,T,,154.0,7.9877,12.2016,True
152,llama70bskinny,gemm_8192_16_14336_f16_f32_tB,b615ac1615d009041dff79ce23b4b8ac,8192,16,14336,f16,N,T,,122.0,15.951,30.8041,True
153,llama70bskinny,gemm_8192_32_14336_f16_f32_tB,cfd89f08fe53c40352c840aa6864024e,8192,32,14336,f16,N,T,,115.0,31.8048,65.3582,True
154,llama70bskinny,gemm_8000_2_8192_f16_f32_tB,1f1d1d3c81e68b29e469362a0ff42f31,8000,2,8192,f16,N,T,,117.0,1.999,2.2405,True
155,llama70bskinny,gemm_8000_4_8192_f16_f32_tB,28e7f71c985c2c0fc1a2d72e88955985,8000,4,8192,f16,N,T,,158.0,3.9961,3.3183,True
156,llama70bskinny,gemm_8000_8_8192_f16_f32_tB,3d36455a1e18570575adcfb7551ca118,8000,8,8192,f16,N,T,,99.0,7.9842,10.5917,True
157,llama70bskinny,gemm_8000_16_8192_f16_f32_tB,46486c9e707b4acccabdccb559e783a6,8000,16,8192,f16,N,T,,83.0,15.937,25.2669,True
158,llama70bskinny,gemm_8000_32_8192_f16_f32_tB,cfed34aec57879eef2a41ca1ebc2662e,8000,32,8192,f16,N,T,,101.0,31.749,41.5278,True
159,llama70bskinny,gemm_2560_2_8192_f16_f32_tB,b6d064257f7b1ae05d253a6807fce99b,2560,2,8192,f16,N,T,,78.0,1.998,1.0755,True
