index,tag,name,B,M,N,K1,K2,dtype,mean_microseconds,arithmetic_intensity,tflops,ok
101,llm,attention_192x1024x128x128x1024xf16,192,1024,128,128,1024,f16,342.0,512.0,301.4012,True
102,llm,attention_192x2048x64x64x2048xf16,192,2048,64,64,2048,f16,523.0,1024.0,394.1844,True
103,llm,attention_192x2048x128x128x2048xf16,192,2048,128,128,2048,f16,1070.0,1024.0,385.3429,True
104,llm,attention_192x4096x64x64x4096xf16,192,4096,64,64,4096,f16,1860.0,2048.0,443.3515,True
105,llm,attention_192x4096x128x128x4096xf16,192,4096,128,128,4096,f16,3810.0,2048.0,432.8786,True
106,llm,attention_192x8192x64x64x8192xf16,192,8192,64,64,8192,f16,6790.0,4096.0,485.7931,True
107,llm,attention_192x8192x128x128x8192xf16,192,8192,128,128,8192,f16,13600.0,4096.0,485.0787,True
108,llm,attention_192x16384x64x64x16384xf16,192,16384,64,64,16384,f16,25700.0,8192.0,513.3906,True
109,llm,attention_192x16384x128x128x16384xf16,192,16384,128,128,16384,f16,50600.0,8192.0,521.5075,True
110,sdxl_unet,attention_1x4096x64x64x64xf16,1,4096,64,64,64,f16,55.0,63.0154,1.2202,True
111,sdxl_unet,attention_2x1024x64x64x64xf16,2,1024,64,64,64,f16,44.0,60.2353,0.7626,True
112,sdxl_unet,attention_4x4096x64x64x64xf16,4,4096,64,64,64,f16,43.0,63.0154,6.2427,True
113,sdxl_unet,attention_8x1024x64x64x64xf16,8,1024,64,64,64,f16,54.0,60.2353,2.4855,True
114,sdxl_unet,attention_20x4096x64x64x4096xf16,20,4096,64,64,4096,f16,353.0,2048.0,243.3409,True
115,sdxl_unet,attention_20x4096x64x64x64xf16,20,4096,64,64,64,f16,60.0,63.0154,22.3696,True
116,sdxl_unet,attention_40x1024x64x64x1024xf16,40,1024,64,64,1024,f16,107.0,512.0,100.3497,True
117,sdxl_unet,attention_40x1024x64x64x64xf16,40,1024,64,64,64,f16,60.0,60.2353,11.1848,True
118,bert,attention_768x4096x64x64x64xf16,768,4096,64,64,64,f16,331.0,63.0154,155.7088,True
119,llama3_405b,attention_512x1024x128x128x1024xf16,512,1024,128,128,1024,f16,771.0,512.0,356.5213,True
120,llama3_405b,attention_512x2048x128x128x2048xf16,512,2048,128,128,2048,f16,2570.0,1024.0,427.8255,True
121,llama3_405b,attention_512x3072x128x128x3072xf16,512,3072,128,128,3072,f16,5390.0,1536.0,458.9798,True
122,llama3_405b,attention_512x4096x128x128x4096xf16,512,4096,128,128,4096,f16,9070.0,2048.0,484.9004,True
123,llama3_405b,attention_512x5120x128x128x5120xf16,512,5120,128,128,5120,f16,13800.0,2560.0,497.9672,True
124,llama3_405b,attention_512x6144x128x128x6144xf16,512,6144,128,128,6144,f16,19600.0,3072.0,504.8778,True
125,llama3_405b,attention_512x7168x128x128x7168xf16,512,7168,128,128,7168,f16,26600.0,3584.0,506.354,True
126,llama3_405b,attention_512x8192x128x128x8192xf16,512,8192,128,128,8192,f16,34400.0,4096.0,511.4008,True
