index,tag,name,B,H,W,C,P,Q,F,S,dtype,output_dtype,mean_microseconds,arithmetic_intensity,tflops,roofline_tflops,roofline_percent,ok
23,resnet,conv_2d_nhwc_hwcf_4x56x56x64x3x3x64_f16xf16xf32_stride1,4,56,56,64,3,3,64,1,f16,f32,67.0,184.6969,13.8036,1307.4,0.0106,True
24,resnet,conv_2d_nhwc_hwcf_4x28x28x128x3x3x128_f16xf16xf32_stride2,4,28,28,128,3,3,128,2,f16,f32,94.0,173.0207,9.8388,1307.4,0.0075,True
25,resnet,conv_2d_nhwc_hwcf_4x28x28x512x1x1x256_f16xf16xf32_stride2,4,28,28,512,1,1,256,2,f16,f32,69.0,50.3775,11.9143,1307.4,0.0091,True
26,resnet,conv_2d_nhwc_hwcf_4x28x28x128x3x3x128_f16xf16xf32_stride1,4,28,28,128,3,3,128,1,f16,f32,93.0,327.7097,9.9446,1307.4,0.0076,True
27,resnet,conv_2d_nhwc_hwcf_4x14x14x256x3x3x256_f16xf16xf32_stride2,4,14,14,256,3,3,256,2,f16,f32,130.0,241.7473,7.1142,1307.4,0.0054,True
28,resnet,conv_2d_nhwc_hwcf_4x14x14x1024x1x1x512_f16xf16xf32_stride2,4,14,14,1024,1,1,512,2,f16,f32,88.0,90.5704,9.3419,1307.4,0.0071,True
29,resnet,conv_2d_nhwc_hwcf_4x14x14x256x3x3x256_f16xf16xf32_stride1,4,14,14,256,3,3,256,1,f16,f32,131.0,368.9412,7.0599,1307.4,0.0054,True
30,resnet,conv_2d_nhwc_hwcf_4x7x7x512x3x3x512_f16xf16xf32_stride2,4,7,7,512,3,3,512,2,f16,f32,245.0,149.9283,3.7749,1307.4,0.0029,True
31,resnet,conv_2d_nhwc_hwcf_4x7x7x2048x1x1x1024_f16xf16xf32_stride2,4,7,7,2048,1,1,1024,2,f16,f32,141.0,100.1517,5.8304,1307.4,0.0045,True
32,resnet,conv_2d_nhwc_hwcf_4x7x7x512x3x3x512_f16xf16xf32_stride1,4,7,7,512,3,3,512,1,f16,f32,247.0,169.6409,3.7443,1307.4,0.0029,True
33,resnet,conv_2d_nhwc_hwcf_8x112x112x64x7x7x3_f16xf16xf32_stride2,8,112,112,64,7,7,3,2,f16,f32,225.0,34.088,8.3921,1307.4,0.0064,True
34,resnet,conv_2d_nhwc_hwcf_8x56x56x64x3x3x64_f16xf16xf32_stride1,8,56,56,64,3,3,64,1,f16,f32,71.0,186.0667,26.0519,1307.4,0.0199,True
35,resnet,conv_2d_nhwc_hwcf_8x28x28x128x3x3x128_f16xf16xf32_stride2,8,28,28,128,3,3,128,2,f16,f32,97.0,177.9291,19.0689,1307.4,0.0146,True
36,resnet,conv_2d_nhwc_hwcf_8x28x28x512x1x1x256_f16xf16xf32_stride2,8,28,28,512,1,1,256,2,f16,f32,70.0,50.7854,23.4881,1307.4,0.018,True
37,resnet,conv_2d_nhwc_hwcf_8x28x28x128x3x3x128_f16xf16xf32_stride1,8,28,28,128,3,3,128,1,f16,f32,94.0,345.7764,19.6775,1307.4,0.0151,True
38,resnet,conv_2d_nhwc_hwcf_8x14x14x256x3x3x256_f16xf16xf32_stride2,8,14,14,256,3,3,256,2,f16,f32,136.0,285.8127,13.6006,1307.4,0.0104,True
39,resnet,conv_2d_nhwc_hwcf_8x14x14x1024x1x1x512_f16xf16xf32_stride2,8,14,14,1024,1,1,512,2,f16,f32,87.0,96.1226,18.8985,1307.4,0.0145,True
40,resnet,conv_2d_nhwc_hwcf_8x14x14x256x3x3x256_f16xf16xf32_stride1,8,14,14,256,3,3,256,1,f16,f32,135.0,482.4615,13.7014,1307.4,0.0105,True
41,resnet,conv_2d_nhwc_hwcf_8x7x7x512x3x3x512_f16xf16xf32_stride2,8,7,7,512,3,3,512,2,f16,f32,238.0,242.7871,7.7718,1307.4,0.0059,True
42,resnet,conv_2d_nhwc_hwcf_8x7x7x2048x1x1x1024_f16xf16xf32_stride2,8,7,7,2048,1,1,1024,2,f16,f32,136.0,134.5201,12.0895,1307.4,0.0092,True
43,resnet,conv_2d_nhwc_hwcf_8x7x7x512x3x3x512_f16xf16xf32_stride1,8,7,7,512,3,3,512,1,f16,f32,246.0,299.0623,7.5191,1307.4,0.0058,True
44,resnet,conv_2d_nchw_fchw_1x112x112x64x7x7x3_f16xf16xf32_stride2,1,112,112,64,7,7,3,2,f16,f32,340.0,34.0071,0.6942,1307.4,0.0005,True
45,resnet,conv_2d_nchw_fchw_1x56x56x64x3x3x64_f16xf16xf32_stride1,1,56,56,64,3,3,64,1,f16,f32,105.0,176.8837,2.202,1307.4,0.0017,True
46,resnet,conv_2d_nchw_fchw_1x28x28x128x3x3x128_f16xf16xf32_stride2,1,28,28,128,3,3,128,2,f16,f32,164.0,148.4497,1.4098,1307.4,0.0011,True
47,resnet,conv_2d_nchw_fchw_1x28x28x512x1x1x256_f16xf16xf32_stride2,1,28,28,512,1,1,256,2,f16,f32,108.0,48.0613,1.903,1307.4,0.0015,True
48,resnet,conv_2d_nchw_fchw_1x28x28x128x3x3x128_f16xf16xf32_stride1,1,28,28,128,3,3,128,1,f16,f32,160.0,249.4939,1.4451,1307.4,0.0011,True
