index,tag,name,B,M,N,K1,K2,dtype,mean_microseconds,arithmetic_intensity,tflops,ok
118,bert,attention_12x384x64x64x384xf16,12,384,64,64,384,f16,63.0,192.0,7.1902,True
119,bert,attention_768x4096x64x64x64xf16,768,4096,64,64,64,f16,382.0,63.0154,134.9204,True
120,llama3_405b,attention_512x1024x128x128x1024xf16,512,1024,128,128,1024,f16,1050.0,512.0,261.7885,True
121,llama3_405b,attention_512x2048x128x128x2048xf16,512,2048,128,128,2048,f16,3690.0,1024.0,297.9706,True
122,llama3_405b,attention_512x3072x128x128x3072xf16,512,3072,128,128,3072,f16,7760.0,1536.0,318.8017,True
123,llama3_405b,attention_512x4096x128x128x4096xf16,512,4096,128,128,4096,f16,13500.0,2048.0,325.7812,True
124,llama3_405b,attention_512x5120x128x128x5120xf16,512,5120,128,128,5120,f16,20400.0,2560.0,336.8602,True
125,llama3_405b,attention_512x6144x128x128x6144xf16,512,6144,128,128,6144,f16,29300.0,3072.0,337.7339,True
126,llama3_405b,attention_512x7168x128x128x7168xf16,512,7168,128,128,7168,f16,45500.0,3584.0,296.0224,True
127,llama3_405b,attention_512x8192x128x128x8192xf16,512,8192,128,128,8192,f16,49700.0,4096.0,353.9675,True
