index,tag,name,vmfb_hash,M,N,K,dtype,tA,tB,runtime_dim,mean_microseconds,arithmetic_intensity,tflops,ok
67,llama13bskinny,gemm_5120_16_1280_f16_f32_tB,469bd058fd21889264a057033dec1b0c,5120,16,1280,f16,N,T,,62.0,15.7538,3.3825,True
68,llama13bskinny,gemm_5120_32_1280_f16_f32_tB,ae482cef8021a0d94e18e366f4a7ebf4,5120,32,1280,f16,N,T,,54.0,31.0303,7.7672,True
69,llama13bskinny,gemm_6912_2_5120_f16_f32_tB,46c202744c3fc92d1527b16ef519e471,6912,2,5120,f16,N,T,,84.0,1.9986,1.6852,True
70,llama13bskinny,gemm_6912_4_5120_f16_f32_tB,3e8e6f1cd7245f4b76dc96bae418bcb4,6912,4,5120,f16,N,T,,104.0,3.9946,2.7223,True
71,llama13bskinny,gemm_6912_8_5120_f16_f32_tB,7a3557cba5b4e9aed9ec7181072673ca,6912,8,5120,f16,N,T,,92.0,7.9783,6.1547,True
72,llama13bskinny,gemm_6912_16_5120_f16_f32_tB,85f16e7d85aa0c3f748b9b08f6b191f1,6912,16,5120,f16,N,T,,80.0,15.9134,14.1558,True
73,llama13bskinny,gemm_6912_32_5120_f16_f32_tB,0cfd120feffd0502f48792d55acd0b0b,6912,32,5120,f16,N,T,,86.0,31.6556,26.3363,True
74,llama13bskinny,gemm_5120_2_3456_f16_f32_tB,ad61a89958995aafec72307e51c4f95a,5120,2,3456,f16,N,T,,69.0,1.9981,1.0258,True
75,llama13bskinny,gemm_5120_4_3456_f16_f32_tB,3083e8e136f051eb2e4eb438551a009d,5120,4,3456,f16,N,T,,80.0,3.9923,1.7695,True
76,llama13bskinny,gemm_5120_8_3456_f16_f32_tB,522488bf31a422a4cb5bff0773f481a2,5120,8,3456,f16,N,T,,79.0,7.9691,3.5837,True
77,llama13bskinny,gemm_5120_16_3456_f16_f32_tB,797e6b9248061261ae1ec71c89eed658,5120,16,3456,f16,N,T,,71.0,15.8769,7.9751,True
78,llama13bskinny,gemm_5120_32_3456_f16_f32_tB,aa1a0e4d3c48a8bee63abe4bc6a1919c,5120,32,3456,f16,N,T,,75.0,31.5113,15.0995,True
79,llama13bskinny,gemm_4000_2_5120_f16_f32_tB,daf6c3e3dc6e6a04a40ba5d6bd55c77f,4000,2,5120,f16,N,T,,77.0,1.9982,1.0639,True
80,llama13bskinny,gemm_4000_4_5120_f16_f32_tB,03853f61ecb435aabf9bc420c0d8c7f7,4000,4,5120,f16,N,T,,88.0,3.9929,1.8618,True
81,llama13bskinny,gemm_4000_8_5120_f16_f32_tB,4cc344edcccfb5d6424a23d42ad0bd4b,4000,8,5120,f16,N,T,,92.0,7.9716,3.5617,True
82,llama13bskinny,gemm_4000_16_5120_f16_f32_tB,34b9d0ee4584a49088d19ab48684ddd4,4000,16,5120,f16,N,T,,73.0,15.8868,8.9775,True
83,llama13bskinny,gemm_4000_32_5120_f16_f32_tB,84f6620f2ffd24462e20f8d060383c57,4000,32,5120,f16,N,T,,71.0,31.5504,18.4608,True
84,llama13bskinny,gemm_1920_2_5120_f16_f32_tB,2d66a7360f203422b4015801b4adcf70,1920,2,5120,f16,N,T,,76.0,1.9971,0.5174,True
85,llama13bskinny,gemm_1920_4_5120_f16_f32_tB,b55fa13b2e8b19327ac58d5d51932c8b,1920,4,5120,f16,N,T,,72.0,3.9886,1.0923,True
86,llama13bskinny,gemm_1920_8_5120_f16_f32_tB,4b092dd976c16fc64aa0c936c99580d8,1920,8,5120,f16,N,T,,78.0,7.9544,2.0165,True
87,llama13bskinny,gemm_1920_16_5120_f16_f32_tB,109bb297110fc475534f626a388f92e5,1920,16,5120,f16,N,T,,77.0,15.8187,4.0854,True
88,llama13bskinny,gemm_1920_32_5120_f16_f32_tB,825da9fdcb5461194fbce131b462d2f5,1920,32,5120,f16,N,T,,80.0,31.2831,7.8643,True
89,llama13bskinny,gemm_5120_2_640_f16_f32_tB,bd71e3349d77580c07c1d9ea95448c45,5120,2,640,f16,N,T,,65.0,1.993,0.2016,True
90,llama13bskinny,gemm_5120_4_640_f16_f32_tB,88f22ca5cf68557f4868b26120979789,5120,4,640,f16,N,T,,67.0,3.9721,0.3913,True
91,llama13bskinny,gemm_5120_8_640_f16_f32_tB,450e2dfc7d43c8e39c5669ebb586b24e,5120,8,640,f16,N,T,,75.0,7.8891,0.6991,True
92,llama13bskinny,gemm_5120_16_640_f16_f32_tB,309730f96530efff20c5d03c75e7a364,5120,16,640,f16,N,T,,64.0,15.5623,1.6384,True
93,llama13bskinny,gemm_5120_32_640_f16_f32_tB,5138e5e4cd5eb22b66d06c617a861f41,5120,32,640,f16,N,T,,65.0,30.2959,3.2264,True
94,llama13bskinny,gemm_3456_2_5120_f16_f32_tB,2134b7e01e6b3fc78fd0aede4fd1e94e,3456,2,5120,f16,N,T,,78.0,1.9981,0.9074,True
95,llama13bskinny,gemm_3456_4_5120_f16_f32_tB,25428d786a8e6444338b162de4e32424,3456,4,5120,f16,N,T,,80.0,3.9923,1.7695,True
96,llama13bskinny,gemm_3456_8_5120_f16_f32_tB,dae130d643dbd59cb76c1397ad88458d,3456,8,5120,f16,N,T,,90.0,7.9691,3.1457,True
97,llama13bskinny,gemm_3456_16_5120_f16_f32_tB,7be3704f61ddb073029fd6e00a8f0417,3456,16,5120,f16,N,T,,75.0,15.8769,7.5497,True
