index,tag,name,vmfb_hash,M,N,K,dtype,tA,tB,runtime_dim,mean_microseconds,arithmetic_intensity,tflops,ok
56,llama13bskinny,gemm_6912_4_5120_f16_f32_tB,03d917c8c132fa795e5f569d889cd115,6912,4,5120,f16,N,T,,150.0,3.9946,1.8874,True
57,llama13bskinny,gemm_6912_8_5120_f16_f32_tB,b7708805b7c444216307585181bd6ec5,6912,8,5120,f16,N,T,,157.0,7.9783,3.6066,True
58,llama13bskinny,gemm_6912_16_5120_f16_f32_tB,cf92c29919ff7032d8913e3d5d1d5f00,6912,16,5120,f16,N,T,,153.0,15.9134,7.4017,True
59,llama13bskinny,gemm_6912_32_5120_f16_f32_tB,2a5de9994930453107c32db44c8e6b86,6912,32,5120,f16,N,T,,165.0,31.6556,13.7268,True
60,llama13bskinny,gemm_4000_2_5120_f16_f32_tB,8491eaccb5493bc4015aab3362da90b1,4000,2,5120,f16,N,T,,155.0,1.9982,0.5285,True
61,llama13bskinny,gemm_4000_4_5120_f16_f32_tB,b414735825b31b7f26e2cd497c7dc694,4000,4,5120,f16,N,T,,149.0,3.9929,1.0996,True
62,llama13bskinny,gemm_4000_8_5120_f16_f32_tB,9337b0c4aa9e206a02376e0d61dca8b4,4000,8,5120,f16,N,T,,151.0,7.9716,2.1701,True
63,llama13bskinny,gemm_4000_16_5120_f16_f32_tB,75df0f8976f715940701661f2bc5a88b,4000,16,5120,f16,N,T,,159.0,15.8868,4.1218,True
64,llama13bskinny,gemm_4000_32_5120_f16_f32_tB,3d4a38bb3d715745923e4759b3287a2c,4000,32,5120,f16,N,T,,157.0,31.5504,8.3485,True
65,llama13bskinny,gemm_1920_2_5120_f16_f32_tB,03888651c7e53483e1c1898b5d605ce0,1920,2,5120,f16,N,T,,123.0,1.9971,0.3197,True
66,llama13bskinny,gemm_1920_4_5120_f16_f32_tB,4513dad3e5089633cbd8157d30f0dc02,1920,4,5120,f16,N,T,,133.0,3.9886,0.5913,True
67,llama13bskinny,gemm_1920_8_5120_f16_f32_tB,22bf876ac8dae11127575d1f7c4ac5a5,1920,8,5120,f16,N,T,,124.0,7.9544,1.2684,True
