index,tag,name,B,M,N,K1,K2,dtype,mean_microseconds,arithmetic_intensity,tflops,ok
50,llm,attention_bmnk1k2_32x1024x64x64x1024xf16,32,1024,64,64,1024,f16,102.0,512.0,84.215,True
51,llm,attention_bmnk1k2_32x1024x128x128x1024xf16,32,1024,128,128,1024,f16,118.0,512.0,145.5921,True
52,llm,attention_bmnk1k2_32x2048x64x64x2048xf16,32,2048,64,64,2048,f16,149.0,1024.0,230.6023,True
53,llm,attention_bmnk1k2_32x2048x128x128x2048xf16,32,2048,128,128,2048,f16,211.0,1024.0,325.6847,True
54,llm,attention_bmnk1k2_32x4096x64x64x4096xf16,32,4096,64,64,4096,f16,405.0,2048.0,339.3554,True
55,llm,attention_bmnk1k2_32x4096x128x128x4096xf16,32,4096,128,128,4096,f16,654.0,2048.0,420.3026,True
56,llm,attention_bmnk1k2_32x8192x64x64x8192xf16,32,8192,64,64,8192,f16,1180.0,4096.0,465.8948,True
57,llm,attention_bmnk1k2_32x8192x128x128x8192xf16,32,8192,128,128,8192,f16,2220.0,4096.0,495.2755,True
58,llm,attention_bmnk1k2_32x16384x64x64x16384xf16,32,16384,64,64,16384,f16,4410.0,8192.0,498.6447,True
59,llm,attention_bmnk1k2_32x16384x128x128x16384xf16,32,16384,128,128,16384,f16,8500.0,8192.0,517.4172,True
60,llm,attention_bmnk1k2_48x1024x64x64x1024xf16,48,1024,64,64,1024,f16,105.0,512.0,122.7134,True
61,llm,attention_bmnk1k2_48x1024x128x128x1024xf16,48,1024,128,128,1024,f16,137.0,512.0,188.1008,True
62,llm,attention_bmnk1k2_48x2048x64x64x2048xf16,48,2048,64,64,2048,f16,181.0,1024.0,284.7492,True
63,llm,attention_bmnk1k2_48x2048x128x128x2048xf16,48,2048,128,128,2048,f16,305.0,1024.0,337.9646,True
64,llm,attention_bmnk1k2_48x4096x64x64x4096xf16,48,4096,64,64,4096,f16,515.0,2048.0,400.3076,True
65,llm,attention_bmnk1k2_48x4096x128x128x4096xf16,48,4096,128,128,4096,f16,945.0,2048.0,436.3141,True
66,llm,attention_bmnk1k2_48x8192x64x64x8192xf16,48,8192,64,64,8192,f16,1750.0,4096.0,471.2193,True
67,llm,attention_bmnk1k2_48x8192x128x128x8192xf16,48,8192,128,128,8192,f16,3370.0,4096.0,489.3969,True
68,llm,attention_bmnk1k2_48x16384x64x64x16384xf16,48,16384,64,64,16384,f16,6550.0,8192.0,503.5931,True
69,llm,attention_bmnk1k2_48x16384x128x128x16384xf16,48,16384,128,128,16384,f16,12600.0,8192.0,523.577,True
70,llm,attention_bmnk1k2_64x1024x64x64x1024xf16,64,1024,64,64,1024,f16,105.0,512.0,163.6178,True
71,llm,attention_bmnk1k2_64x1024x128x128x1024xf16,64,1024,128,128,1024,f16,141.0,512.0,243.6861,True
72,llm,attention_bmnk1k2_64x2048x64x64x2048xf16,64,2048,64,64,2048,f16,243.0,1024.0,282.7962,True
73,llm,attention_bmnk1k2_64x2048x128x128x2048xf16,64,2048,128,128,2048,f16,359.0,1024.0,382.8383,True
74,llm,attention_bmnk1k2_64x4096x64x64x4096xf16,64,4096,64,64,4096,f16,627.0,2048.0,438.4018,True
75,llm,attention_bmnk1k2_64x4096x128x128x4096xf16,64,4096,128,128,4096,f16,1140.0,2048.0,482.2419,True
76,llm,attention_bmnk1k2_64x8192x64x64x8192xf16,64,8192,64,64,8192,f16,2200.0,4096.0,499.778,True
77,llm,attention_bmnk1k2_64x8192x128x128x8192xf16,64,8192,128,128,8192,f16,4300.0,4096.0,511.4008,True
78,llm,attention_bmnk1k2_64x16384x64x64x16384xf16,64,16384,64,64,16384,f16,8290.0,8192.0,530.5243,True
79,llm,attention_bmnk1k2_64x16384x128x128x16384xf16,64,16384,128,128,16384,f16,16200.0,8192.0,542.9687,True
80,llm,attention_bmnk1k2_96x1024x64x64x1024xf16,96,1024,64,64,1024,f16,124.0,512.0,207.821,True
81,llm,attention_bmnk1k2_96x1024x128x128x1024xf16,96,1024,128,128,1024,f16,193.0,512.0,267.0446,True
82,llm,attention_bmnk1k2_96x2048x64x64x2048xf16,96,2048,64,64,2048,f16,295.0,1024.0,349.4211,True
83,llm,attention_bmnk1k2_96x2048x128x128x2048xf16,96,2048,128,128,2048,f16,517.0,1024.0,398.7591,True
84,llm,attention_bmnk1k2_96x4096x64x64x4096xf16,96,4096,64,64,4096,f16,918.0,2048.0,449.1469,True
85,llm,attention_bmnk1k2_96x4096x128x128x4096xf16,96,4096,128,128,4096,f16,1760.0,2048.0,468.5419,True
86,llm,attention_bmnk1k2_96x8192x64x64x8192xf16,96,8192,64,64,8192,f16,3290.0,4096.0,501.2971,True
87,llm,attention_bmnk1k2_96x8192x128x128x8192xf16,96,8192,128,128,8192,f16,6400.0,4096.0,515.3961,True
