index,tag,name,B,M,N,K1,K2,dtype,mean_microseconds,arithmetic_intensity,tflops,ok
20,llm,attention_bmnk1k2_4x1024x64x64x1024xf16,4,1024,64,64,1024,f16,105.0,512.0,10.2261,True
21,llm,attention_bmnk1k2_4x1024x128x128x1024xf16,4,1024,128,128,1024,f16,141.0,512.0,15.2304,True
22,llm,attention_bmnk1k2_4x2048x64x64x2048xf16,4,2048,64,64,2048,f16,135.0,1024.0,31.8146,True
23,llm,attention_bmnk1k2_4x2048x128x128x2048xf16,4,2048,128,128,2048,f16,221.0,1024.0,38.8685,True
24,sdxl_unet,attention_bmnk1k2_4x4096x64x64x4096xf16,4,4096,64,64,4096,f16,221.0,2048.0,77.737,True
25,llm,attention_bmnk1k2_4x4096x128x128x4096xf16,4,4096,128,128,4096,f16,422.0,2048.0,81.4212,True
26,llm,attention_bmnk1k2_4x8192x64x64x8192xf16,4,8192,64,64,8192,f16,401.0,4096.0,171.3703,True
27,llm,attention_bmnk1k2_4x8192x128x128x8192xf16,4,8192,128,128,8192,f16,790.0,4096.0,173.9734,True
28,llm,attention_bmnk1k2_4x16384x64x64x16384xf16,4,16384,64,64,16384,f16,1070.0,8192.0,256.8952,True
29,llm,attention_bmnk1k2_4x16384x128x128x16384xf16,4,16384,128,128,16384,f16,1710.0,8192.0,321.4946,True
30,sdxl_unet,attention_bmnk1k2_8x1024x64x64x1024xf16,8,1024,64,64,1024,f16,104.0,512.0,20.6489,True
31,llm,attention_bmnk1k2_8x1024x128x128x1024xf16,8,1024,128,128,1024,f16,143.0,512.0,30.0347,True
32,llm,attention_bmnk1k2_8x2048x64x64x2048xf16,8,2048,64,64,2048,f16,141.0,1024.0,60.9215,True
33,llm,attention_bmnk1k2_8x2048x128x128x2048xf16,8,2048,128,128,2048,f16,242.0,1024.0,70.9912,True
34,llm,attention_bmnk1k2_8x4096x64x64x4096xf16,8,4096,64,64,4096,f16,243.0,2048.0,141.3981,True
35,llm,attention_bmnk1k2_8x4096x128x128x4096xf16,8,4096,128,128,4096,f16,430.0,2048.0,159.8127,True
36,llm,attention_bmnk1k2_8x8192x64x64x8192xf16,8,8192,64,64,8192,f16,568.0,4096.0,241.97,True
37,llm,attention_bmnk1k2_8x8192x128x128x8192xf16,8,8192,128,128,8192,f16,903.0,4096.0,304.4052,True
38,llm,attention_bmnk1k2_8x16384x64x64x16384xf16,8,16384,64,64,16384,f16,1940.0,8192.0,283.3793,True
39,llm,attention_bmnk1k2_8x16384x128x128x16384xf16,8,16384,128,128,16384,f16,3300.0,8192.0,333.1853,True
40,llm,attention_bmnk1k2_16x1024x64x64x1024xf16,16,1024,64,64,1024,f16,108.0,512.0,39.7682,True
41,llm,attention_bmnk1k2_16x1024x128x128x1024xf16,16,1024,128,128,1024,f16,156.0,512.0,55.0637,True
42,llm,attention_bmnk1k2_16x2048x64x64x2048xf16,16,2048,64,64,2048,f16,147.0,1024.0,116.8699,True
43,llm,attention_bmnk1k2_16x2048x128x128x2048xf16,16,2048,128,128,2048,f16,247.0,1024.0,139.1083,True
44,llm,attention_bmnk1k2_16x4096x64x64x4096xf16,16,4096,64,64,4096,f16,320.0,2048.0,214.7484,True
45,llm,attention_bmnk1k2_16x4096x128x128x4096xf16,16,4096,128,128,4096,f16,492.0,2048.0,279.3475,True
46,llm,attention_bmnk1k2_16x8192x64x64x8192xf16,16,8192,64,64,8192,f16,985.0,4096.0,279.0639,True
47,llm,attention_bmnk1k2_16x8192x128x128x8192xf16,16,8192,128,128,8192,f16,1750.0,4096.0,314.1462,True
48,llm,attention_bmnk1k2_16x16384x64x64x16384xf16,16,16384,64,64,16384,f16,3340.0,8192.0,329.1951,True
49,llm,attention_bmnk1k2_16x16384x128x128x16384xf16,16,16384,128,128,16384,f16,6560.0,8192.0,335.217,True
50,llm,attention_bmnk1k2_32x1024x64x64x1024xf16,32,1024,64,64,1024,f16,111.0,512.0,77.3868,True
51,llm,attention_bmnk1k2_32x1024x128x128x1024xf16,32,1024,128,128,1024,f16,165.0,512.0,104.1204,True
52,llm,attention_bmnk1k2_32x2048x64x64x2048xf16,32,2048,64,64,2048,f16,190.0,1024.0,180.8407,True
53,llm,attention_bmnk1k2_32x2048x128x128x2048xf16,32,2048,128,128,2048,f16,285.0,1024.0,241.121,True
54,llm,attention_bmnk1k2_32x4096x64x64x4096xf16,32,4096,64,64,4096,f16,523.0,2048.0,262.7896,True
55,llm,attention_bmnk1k2_32x4096x128x128x4096xf16,32,4096,128,128,4096,f16,925.0,2048.0,297.1653,True
56,llm,attention_bmnk1k2_32x8192x64x64x8192xf16,32,8192,64,64,8192,f16,1690.0,4096.0,325.2993,True
57,llm,attention_bmnk1k2_32x8192x128x128x8192xf16,32,8192,128,128,8192,f16,3270.0,4096.0,336.2421,True
58,llm,attention_bmnk1k2_32x16384x64x64x16384xf16,32,16384,64,64,16384,f16,6510.0,8192.0,337.7916,True
59,llm,attention_bmnk1k2_32x16384x128x128x16384xf16,32,16384,128,128,16384,f16,12800.0,8192.0,343.5974,True
60,llm,attention_bmnk1k2_48x1024x64x64x1024xf16,48,1024,64,64,1024,f16,129.0,512.0,99.883,True
61,llm,attention_bmnk1k2_48x1024x128x128x1024xf16,48,1024,128,128,1024,f16,183.0,512.0,140.8186,True
62,llm,attention_bmnk1k2_48x2048x64x64x2048xf16,48,2048,64,64,2048,f16,238.0,1024.0,216.553,True
63,llm,attention_bmnk1k2_48x2048x128x128x2048xf16,48,2048,128,128,2048,f16,456.0,1024.0,226.0509,True
64,llm,attention_bmnk1k2_48x4096x64x64x4096xf16,48,4096,64,64,4096,f16,724.0,2048.0,284.7492,True
65,llm,attention_bmnk1k2_48x4096x128x128x4096xf16,48,4096,128,128,4096,f16,1300.0,2048.0,317.1668,True
66,llm,attention_bmnk1k2_48x8192x64x64x8192xf16,48,8192,64,64,8192,f16,2540.0,4096.0,324.6589,True
67,llm,attention_bmnk1k2_48x8192x128x128x8192xf16,48,8192,128,128,8192,f16,5220.0,4096.0,315.9516,True
68,llm,attention_bmnk1k2_48x16384x64x64x16384xf16,48,16384,64,64,16384,f16,9700.0,8192.0,340.0551,True
69,llm,attention_bmnk1k2_48x16384x128x128x16384xf16,48,16384,128,128,16384,f16,18900.0,8192.0,349.0513,True
70,llm,attention_bmnk1k2_64x1024x64x64x1024xf16,64,1024,64,64,1024,f16,124.0,512.0,138.5473,True
71,llm,attention_bmnk1k2_64x1024x128x128x1024xf16,64,1024,128,128,1024,f16,183.0,512.0,187.7581,True
72,llm,attention_bmnk1k2_64x2048x64x64x2048xf16,64,2048,64,64,2048,f16,297.0,1024.0,231.3787,True
73,llm,attention_bmnk1k2_64x2048x128x128x2048xf16,64,2048,128,128,2048,f16,508.0,1024.0,270.5491,True
74,llm,attention_bmnk1k2_64x4096x64x64x4096xf16,64,4096,64,64,4096,f16,884.0,2048.0,310.9479,True
75,llm,attention_bmnk1k2_64x4096x128x128x4096xf16,64,4096,128,128,4096,f16,1700.0,2048.0,323.3858,True
76,llm,attention_bmnk1k2_64x8192x64x64x8192xf16,64,8192,64,64,8192,f16,3280.0,4096.0,335.217,True
77,llm,attention_bmnk1k2_64x8192x128x128x8192xf16,64,8192,128,128,8192,f16,6530.0,4096.0,336.757,True
78,llm,attention_bmnk1k2_64x16384x64x64x16384xf16,64,16384,64,64,16384,f16,12500.0,8192.0,351.8437,True
79,llm,attention_bmnk1k2_64x16384x128x128x16384xf16,64,16384,128,128,16384,f16,25100.0,8192.0,350.442,True
80,llm,attention_bmnk1k2_96x1024x64x64x1024xf16,96,1024,64,64,1024,f16,156.0,512.0,165.191,True
81,llm,attention_bmnk1k2_96x1024x128x128x1024xf16,96,1024,128,128,1024,f16,273.0,512.0,188.7898,True
82,llm,attention_bmnk1k2_96x2048x64x64x2048xf16,96,2048,64,64,2048,f16,395.0,1024.0,260.96,True
